yourlist:M201512109A0638DP3L	Entry
ENSG00000105755	M0QX80
ENSG00000105755	M0QXB5
ENSG00000105755	M0QY80
ENSG00000105755	O95571
ENSG00000105767	Q8NFZ8
ENSG00000105771	M0QX70
ENSG00000105771	M0QYR7
ENSG00000105771	M0QZC7
ENSG00000105771	M0QZH1
ENSG00000105771	M0R0U0
ENSG00000105771	M0R2N0
ENSG00000105771	Q9H0W8
ENSG00000105778	B8ZZW5
ENSG00000105778	H7C0I1
ENSG00000105778	Q8NBF6
ENSG00000105810	Q00534
ENSG00000105819	F8WAZ6
ENSG00000105819	F8WBE1
ENSG00000105819	F8WEA6
ENSG00000105819	F8WEC8
ENSG00000105819	G3V0E4
ENSG00000105819	O75439
ENSG00000105821	C9IZ83
ENSG00000105821	F2Z3H0
ENSG00000105821	F2Z3N9
ENSG00000105821	H7C3L7
ENSG00000105821	Q99543
ENSG00000105825	H7C4A3
ENSG00000105825	P48307
ENSG00000105849	Q3B726
ENSG00000105852	C9JZ99
ENSG00000105852	F2Z2L3
ENSG00000105852	F8WBV4
ENSG00000105852	F8WD41
ENSG00000105852	Q15166
ENSG00000105855	P26012
ENSG00000105856	C9J5U3
ENSG00000105856	C9J8V6
ENSG00000105856	C9JAW1
ENSG00000105856	C9JPK6
ENSG00000105856	C9JQU7
ENSG00000105856	H7C4S2
ENSG00000105856	H7C574
ENSG00000105856	O60381
ENSG00000105856	U3KQE5
ENSG00000105865	F2Z2E4
ENSG00000105865	F8WEL2
ENSG00000105865	F8WFE3
ENSG00000105865	O95620
ENSG00000105866	C9JUS7
ENSG00000105866	F8WB93
ENSG00000105866	Q02446
ENSG00000105875	A4D1P6
ENSG00000105875	C9J1X0
ENSG00000105879	C9J2P9
ENSG00000105879	C9K074
ENSG00000105879	F8WEM5
ENSG00000105879	Q75N03
ENSG00000105880	P56178
ENSG00000105887	C9JL85
ENSG00000105887	P58546
ENSG00000105894	C9JR52
ENSG00000105894	P21246
ENSG00000105928	C9JSR4
ENSG00000105928	H7BZJ0
ENSG00000105928	H7C0L2
ENSG00000105928	H7C147
ENSG00000105928	H7C3W1
ENSG00000105928	O60443
ENSG00000105929	Q9HBG4
ENSG00000105939	C9J6P4
ENSG00000105939	H7C5K1
ENSG00000105939	Q7Z2W4
ENSG00000105948	A0AVF1
ENSG00000105948	B7Z2T3
ENSG00000105948	B7Z6R6
ENSG00000105948	F8WEZ4
ENSG00000105948	Q96CU4
ENSG00000105953	A0A0D9SFS3
ENSG00000105953	C9J4G7
ENSG00000105953	E9PCR7
ENSG00000105953	E9PDF2
ENSG00000105953	E9PFG7
ENSG00000105953	Q02218
ENSG00000105963	A0A087WTN6
ENSG00000105963	C9JN36
ENSG00000105963	H0Y7Q1
ENSG00000105963	H7BZT6
ENSG00000105963	H7C264
ENSG00000105963	H7C324
ENSG00000105963	H7C4B3
ENSG00000105963	O75689
ENSG00000105967	B7Z757
ENSG00000105967	O14948
ENSG00000105971	E9PCT3
ENSG00000105971	P51636
ENSG00000105974	C9JKI3
ENSG00000105974	E9PCT5
ENSG00000105974	F8WDM7
ENSG00000105974	Q03135
ENSG00000105976	C9JKM5
ENSG00000105976	H7C130
ENSG00000105976	H7C174
ENSG00000105976	P08581
ENSG00000105983	F2Z2Z3
ENSG00000105983	F8WB14
ENSG00000105983	F8WCL1
ENSG00000105983	F8WDW0
ENSG00000105983	F8WEK4
ENSG00000105983	F8WEN8
ENSG00000105983	H0Y6V6
ENSG00000105983	H7C1Y4
ENSG00000105983	Q8NDP7
ENSG00000105983	Q8WVP7
ENSG00000105989	C9JUI2
ENSG00000105989	F8WDR1
ENSG00000105989	P09544
ENSG00000105993	A0A0J9YX62
ENSG00000105993	C9J2C4
ENSG00000105993	C9J2P2
ENSG00000105993	C9JB42
ENSG00000105993	C9JDR7
ENSG00000105993	C9JDX6
ENSG00000105993	C9JN01
ENSG00000105993	E9PH18
ENSG00000105993	F8WCZ4
ENSG00000105993	O75190
ENSG00000105996	O43364
ENSG00000105997	E5RIJ8
ENSG00000105997	F2Z3A4
ENSG00000105997	O43365
ENSG00000106003	A0A087X191
ENSG00000106003	Q8NES3
ENSG00000106012	A0A087WX19
ENSG00000106012	A0A087WX45
ENSG00000106012	C9J5R6
ENSG00000106012	C9JE72
ENSG00000106012	C9JP75
ENSG00000106012	H7C427
ENSG00000106012	Q6IPM2
ENSG00000106012	X5D7Y5
ENSG00000106013	A0A087WZT6
ENSG00000106013	A0A0C4DG12
ENSG00000106013	C9J2M7
ENSG00000106013	C9JIJ7
ENSG00000106013	Q92527
ENSG00000106025	C9IZ82
ENSG00000106025	C9J9U1
ENSG00000106025	C9JC05
ENSG00000106025	C9JQM0
ENSG00000106025	H7C0X9
ENSG00000106025	O95859
ENSG00000106028	C9J8J0
ENSG00000106028	C9K0U8
ENSG00000106028	E7EUY5
ENSG00000106028	Q04837
ENSG00000106031	P31271
ENSG00000106034	A4D0V7
ENSG00000106034	E7ENG7
ENSG00000106034	E9PCC8
ENSG00000106034	G5E9U2
ENSG00000106034	H0YB19
ENSG00000106034	Q5MJQ4
ENSG00000106049	F8WET2
ENSG00000106049	H7BZL2
ENSG00000106049	P31937
ENSG00000106052	B8ZZD4
ENSG00000106052	C9J7J4
ENSG00000106052	C9JBZ7
ENSG00000106052	F8WBU9
ENSG00000106052	H7C3L5
ENSG00000106052	Q86VP1
ENSG00000106052	V9GZ06
ENSG00000106066	A0A087WVP6
ENSG00000106066	A0A087WXJ9
ENSG00000106066	C9J6L4
ENSG00000106066	C9JI22
ENSG00000106066	C9JLV0
ENSG00000106066	C9JVI2
ENSG00000106066	C9JZ94
ENSG00000106066	H7C0X5
ENSG00000106066	H7C218
ENSG00000106066	Q9H3G5
ENSG00000106070	C9JTW6
ENSG00000106070	H7C3B9
ENSG00000106070	Q13322
ENSG00000106077	C9J7Q4
ENSG00000106077	H0YC52
ENSG00000106077	H7BZ58
ENSG00000106077	H7C396
ENSG00000106077	Q8NFV4
ENSG00000106078	A0A0J9YWK3
ENSG00000106078	C9J9X1
ENSG00000106078	H7C1N2
ENSG00000106078	H7C2C4
ENSG00000106078	J3KR05
ENSG00000106078	O75128
ENSG00000106080	F8WBZ0
ENSG00000106080	H7C1Z9
ENSG00000106080	Q9NWM8
ENSG00000106105	F8WCK4
ENSG00000106105	H7C443
ENSG00000106105	P41250
ENSG00000106144	A0A087WYM1
ENSG00000106144	C9JRR9
ENSG00000106144	P42575
ENSG00000106153	Q9Y6H1
ENSG00000106211	C9J3N8
ENSG00000106211	F8WE04
ENSG00000106211	P04792
ENSG00000106244	F8WBW6
ENSG00000106244	Q13442
ENSG00000106245	C9JCD9
ENSG00000106245	C9JNV2
ENSG00000106245	F8WCN7
ENSG00000106245	P41223
ENSG00000106261	B3KRF7
ENSG00000106261	C9JRM9
ENSG00000106261	E9PC66
ENSG00000106261	P17029
ENSG00000106263	C9JQN7
ENSG00000106263	C9JZG1
ENSG00000106263	P55884
ENSG00000106266	C9IYC5
ENSG00000106266	C9J014
ENSG00000106266	C9J271
ENSG00000106266	C9J8E6
ENSG00000106266	C9JCB9
ENSG00000106266	Q9Y5X2
ENSG00000106268	C9J361
ENSG00000106268	P36639
ENSG00000106278	P23471
ENSG00000106290	C9J088
ENSG00000106290	C9J7C4
ENSG00000106290	C9JFL8
ENSG00000106290	C9JHQ8
ENSG00000106290	C9JI39
ENSG00000106290	C9JIS2
ENSG00000106290	C9JTY6
ENSG00000106290	E5RHA1
ENSG00000106290	E5RKA5
ENSG00000106290	F8WEJ7
ENSG00000106290	J3KR72
ENSG00000106290	P49848
ENSG00000106299	O00401
ENSG00000106305	A8MU58
ENSG00000106305	F8W950
ENSG00000106305	F8WCL2
ENSG00000106305	Q13155
ENSG00000106330	C9J3M4
ENSG00000106330	F8WF07
ENSG00000106330	O75425
ENSG00000106333	Q15113
ENSG00000106344	C9JAA9
ENSG00000106344	C9JE21
ENSG00000106344	H7C5G8
ENSG00000106344	Q9NW13
ENSG00000106346	B4DP25
ENSG00000106346	C9JPC9
ENSG00000106346	E5RJP3
ENSG00000106346	E7EWZ4
ENSG00000106346	F8WD92
ENSG00000106346	Q9H9J4
ENSG00000106348	C9J029
ENSG00000106348	C9J381
ENSG00000106348	C9K0R9
ENSG00000106348	F8WDE9
ENSG00000106348	H7C511
ENSG00000106348	H7C5T1
ENSG00000106348	P20839
ENSG00000106366	P05121
ENSG00000106384	Q86VF5
ENSG00000106392	C9JDX1
ENSG00000106392	C9K0C8
ENSG00000106392	Q9NS00
ENSG00000106400	O43257
ENSG00000106415	H7C0B2
ENSG00000106415	H7C0Q2
ENSG00000106415	H7C2L5
ENSG00000106415	Q86VQ1
ENSG00000106459	C9JP85
ENSG00000106459	Q16656
ENSG00000106460	C9J998
ENSG00000106460	C9JZ87
ENSG00000106460	F2Z3N7
ENSG00000106460	Q9NUM4
ENSG00000106462	E9PDH6
ENSG00000106462	G3XAL2
ENSG00000106462	Q15910
ENSG00000106479	C9JB70
ENSG00000106479	O60290
ENSG00000106484	C9JCM6
ENSG00000106484	C9JG66
ENSG00000106484	C9JRA9
ENSG00000106484	C9JSW2
ENSG00000106484	C9JUD2
ENSG00000106484	C9JW74
ENSG00000106484	C9JWU9
ENSG00000106484	Q5EB52
ENSG00000106484	R4GN52
ENSG00000106524	F8WB95
ENSG00000106524	G3V0G5
ENSG00000106524	Q8IV38
ENSG00000106537	O95857
ENSG00000106538	C9J8S2
ENSG00000106538	Q99969
ENSG00000106546	P35869
ENSG00000106554	C9JRZ6
ENSG00000106554	F8WAR4
ENSG00000106554	F8WD73
ENSG00000106554	Q9NX63
ENSG00000106571	C9J9N4
ENSG00000106571	F8WEV4
ENSG00000106571	P10071
ENSG00000106603	C9J6J1
ENSG00000106603	C9JA07
ENSG00000106603	F2Z2D1
ENSG00000106603	F2Z2J3
ENSG00000106603	F8WBS2
ENSG00000106603	Q9GZY4
ENSG00000106608	C9J0W2
ENSG00000106608	C9JKA8
ENSG00000106608	F8WCC3
ENSG00000106608	F8WDN0
ENSG00000106608	Q8TCY9
ENSG00000106609	C9J3C8
ENSG00000106609	C9JKP5
ENSG00000106609	F8WE75
ENSG00000106609	Q9NWD8
ENSG00000106609	U3KQ21
ENSG00000106615	C9J469
ENSG00000106615	C9J931
ENSG00000106615	F8WBL3
ENSG00000106615	Q15382
ENSG00000106617	C9JUG1
ENSG00000106617	E9PGP6
ENSG00000106617	F8WAY3
ENSG00000106617	F8WDA1
ENSG00000106617	F8WDB5
ENSG00000106617	Q9UGJ0
ENSG00000106628	A0A087WWF6
ENSG00000106628	C9IZD2
ENSG00000106628	C9J8Z7
ENSG00000106628	C9JHC7
ENSG00000106628	C9JLE1
ENSG00000106628	F8W8R3
ENSG00000106628	H7C1B3
ENSG00000106628	P49005
ENSG00000106633	C9JQD1
ENSG00000106633	H7BXV0
ENSG00000106633	P35557
ENSG00000106635	F2Z3H6
ENSG00000106635	F8WDZ4
ENSG00000106635	F8WE18
ENSG00000106635	Q9BQE9
ENSG00000106636	H7C3K7
ENSG00000106636	O15498
ENSG00000106638	A0A087WXC6
ENSG00000106638	E9PF19
ENSG00000106638	F2Z3G3
ENSG00000106638	F8WB62
ENSG00000106638	F8WBD9
ENSG00000106638	F8WBP2
ENSG00000106638	F8WCC7
ENSG00000106638	F8WCR3
ENSG00000106638	F8WDI9
ENSG00000106638	F8WEC3
ENSG00000106638	Q96E41
ENSG00000106638	Q9Y4P3
ENSG00000106682	Q15056
ENSG00000106683	E9PC47
ENSG00000106683	P53667
ENSG00000106688	H0Y7R2
ENSG00000106688	P43005
ENSG00000106701	A0A0A0MRS5
ENSG00000106701	A0A0C4DG97
ENSG00000106701	C9JD05
ENSG00000106701	F8W946
ENSG00000106701	Q8N450
ENSG00000106701	Q9BXM9
ENSG00000106733	B3KN26
ENSG00000106733	Q5W125
ENSG00000106733	Q9NWW6
ENSG00000106771	F8WBJ7
ENSG00000106771	H7C0G1
ENSG00000106771	Q9H330
ENSG00000106772	A0A088AWP5
ENSG00000106772	A0A0C4DFM3
ENSG00000106772	E9PDC2
ENSG00000106772	H7BZH9
ENSG00000106772	Q5JUB8
ENSG00000106772	Q5JUB9
ENSG00000106772	Q8WUY3
ENSG00000106772	X6R9J3
ENSG00000106780	Q9H1U4
ENSG00000106785	F2Z2M2
ENSG00000106785	Q14142
ENSG00000106789	Q92828
ENSG00000106799	B4DY26
ENSG00000106799	F8VRH6
ENSG00000106799	F8VVC4
ENSG00000106799	F8VXZ5
ENSG00000106799	F8W0K6
ENSG00000106799	F8W1R9
ENSG00000106799	H0YHS4
ENSG00000106799	P36897
ENSG00000106803	P60468
ENSG00000106803	S4R3B5
ENSG00000106819	Q5TBF2
ENSG00000106819	Q9BXN1
ENSG00000106868	F8WAQ1
ENSG00000106868	H0Y6B2
ENSG00000106868	H0YCH6
ENSG00000106868	H3BLV4
ENSG00000106868	Q6UWL2
ENSG00000106991	F5GX88
ENSG00000106991	P17813
ENSG00000106992	F8VRY5
ENSG00000106992	H0Y4J6
ENSG00000106992	H0YID2
ENSG00000106992	P00568
ENSG00000106992	Q5T9B7
ENSG00000107020	Q9HBL7
ENSG00000107021	Q9NVG8
ENSG00000107130	P62166
ENSG00000107159	A0A087WYS4
ENSG00000107159	Q16790
ENSG00000107164	Q96I24
ENSG00000107165	C9JZ52
ENSG00000107165	E7EQI3
ENSG00000107165	P17643
ENSG00000107175	A0A087X1M9
ENSG00000107175	O43889
ENSG00000107185	Q92546
ENSG00000107201	A2A376
ENSG00000107201	O95786
ENSG00000107223	O60869
ENSG00000107249	F8WEV9
ENSG00000107249	Q1PHJ2
ENSG00000107249	Q1PHJ8
ENSG00000107249	Q8NEA6
ENSG00000107262	C9J9Y9
ENSG00000107262	C9JYK5
ENSG00000107262	F1LLU6
ENSG00000107262	J3QTA2
ENSG00000107262	Q99933
ENSG00000107263	H0Y4V2
ENSG00000107263	H0Y6R4
ENSG00000107263	Q13905
ENSG00000107263	Q5JUE9
ENSG00000107281	A0A087WYK7
ENSG00000107281	Q5SPY9
ENSG00000107281	Q9NQX5
ENSG00000107341	Q712K3
ENSG00000107362	Q5VST6
ENSG00000107372	O76080
ENSG00000107372	Q5QPB1
ENSG00000107443	Q5T5M9
ENSG00000107447	P04053
ENSG00000107485	P23771
ENSG00000107518	A0A087X0X7
ENSG00000107518	E9PL90
ENSG00000107518	H0YDQ9
ENSG00000107518	Q5VV63
ENSG00000107518	R4GMZ1
ENSG00000107551	Q5T737
ENSG00000107551	Q5T739
ENSG00000107551	Q9H2L5
ENSG00000107551	R4GNA4
ENSG00000107551	V9GYK1
ENSG00000107560	Q7L804
ENSG00000107566	B0QZ43
ENSG00000107566	O75477
ENSG00000107581	Q14152
ENSG00000107614	A0A0B4J214
ENSG00000107614	A0A0C4DG18
ENSG00000107614	B7Z8H2
ENSG00000107614	H0Y2T8
ENSG00000107614	H0Y4A2
ENSG00000107614	O14717
ENSG00000107614	Q7Z3E4
ENSG00000107625	A0A087WVC1
ENSG00000107625	Q9BQ39
ENSG00000107625	S4R3G6
ENSG00000107625	S4R3V4
ENSG00000107651	A0A0C4DH82
ENSG00000107651	H7C0V8
ENSG00000107651	H7C4C4
ENSG00000107651	Q9Y6Y8
ENSG00000107669	B4DK25
ENSG00000107669	B4E107
ENSG00000107669	F5GXE4
ENSG00000107669	H0Y5C2
ENSG00000107669	O95260
ENSG00000107669	Q5SQQ1
ENSG00000107672	Q9NXX6
ENSG00000107679	Q5RGS4
ENSG00000107679	Q9HB21
ENSG00000107679	R4GMZ9
ENSG00000107738	Q9H7M9
ENSG00000107738	R4GNB4
ENSG00000107742	F5H283
ENSG00000107742	Q92563
ENSG00000107745	E9PQV6
ENSG00000107745	F6XEV2
ENSG00000107745	Q9BPX6
ENSG00000107745	S4R3D7
ENSG00000107745	S4R3V1
ENSG00000107745	S4R3W3
ENSG00000107771	Q9H7U1
ENSG00000107779	A0A087X0P8
ENSG00000107779	P36894
ENSG00000107796	F6QUT6
ENSG00000107796	F6UVQ4
ENSG00000107796	P62736
ENSG00000107816	B1AL11
ENSG00000107816	B1AL12
ENSG00000107816	B1AL13
ENSG00000107816	Q9BRK4
ENSG00000107816	S4R3W7
ENSG00000107819	A0A0A0MS41
ENSG00000107819	Q9BWM7
ENSG00000107819	S4R3N9
ENSG00000107829	P57775
ENSG00000107833	O75607
ENSG00000107854	Q9H2K2
ENSG00000107862	Q92538
ENSG00000107874	Q9H467
ENSG00000107882	Q9UMX1
ENSG00000107890	E7ESJ3
ENSG00000107890	H0Y4T9
ENSG00000107890	Q9UPS8
ENSG00000107897	A0A087X0B8
ENSG00000107897	B7Z2R7
ENSG00000107897	Q5T8D3
ENSG00000107897	Q5T8E0
ENSG00000107897	X6RDD7
ENSG00000107902	Q5T1Z0
ENSG00000107902	Q9H008
ENSG00000107929	A0A087X183
ENSG00000107929	B5MCU2
ENSG00000107929	H0Y4V9
ENSG00000107929	H0Y641
ENSG00000107929	Q92615
ENSG00000107929	V9GYI5
ENSG00000107929	X6RCG6
ENSG00000107937	Q5T3R7
ENSG00000107937	Q9BZE4
ENSG00000107938	E9PJ07
ENSG00000107938	H0Y353
ENSG00000107938	H0YCQ0
ENSG00000107938	H0YCS2
ENSG00000107938	Q3B7T1
ENSG00000107949	Q9P287
ENSG00000107951	Q5T851
ENSG00000107951	Q5T852
ENSG00000107951	Q9NVV4
ENSG00000107959	A0A0A0MRX9
ENSG00000107959	B1APQ0
ENSG00000107959	B1APQ1
ENSG00000107959	H0Y4F7
ENSG00000107959	H0Y7L7
ENSG00000107959	Q5JRX3
ENSG00000107960	Q9H668
ENSG00000107968	P41279
ENSG00000107968	Q5T853
ENSG00000107968	Q5T854
ENSG00000107968	Q5T857
ENSG00000107984	O94907
ENSG00000108010	O76003
ENSG00000108018	A0A087WTI0
ENSG00000108018	A0A087WTQ9
ENSG00000108018	A0A0A0MRC2
ENSG00000108018	H7C2U3
ENSG00000108018	Q8WY21
ENSG00000108018	X6R7D6
ENSG00000108021	J3KPH3
ENSG00000108021	Q5VWN6
ENSG00000108039	Q5T6H2
ENSG00000108039	Q5T6H3
ENSG00000108039	Q5T6H7
ENSG00000108039	Q9NQW7
ENSG00000108055	Q9UQE7
ENSG00000108061	Q9UQ13
ENSG00000108061	X6RI37
ENSG00000108064	H7BYN3
ENSG00000108064	Q00059
ENSG00000108091	Q16204
ENSG00000108094	A0A0A0MTN0
ENSG00000108094	Q13617
ENSG00000108094	Q5T2B5
ENSG00000108094	Q5T2B7
ENSG00000108106	K7EM75
ENSG00000108106	K7EPJ1
ENSG00000108106	Q16763
ENSG00000108107	H0YKD8
ENSG00000108107	H0YLP6
ENSG00000108107	H0YMF4
ENSG00000108107	P46779
ENSG00000108175	A0A087WYE6
ENSG00000108175	F6WR09
ENSG00000108175	Q9ULJ6
ENSG00000108219	A6NEP9
ENSG00000108219	H7BXY6
ENSG00000108219	Q8NG11
ENSG00000108239	O60347
ENSG00000108244	J3QR55
ENSG00000108244	K7EPI0
ENSG00000108244	Q9C075
ENSG00000108244	Q9UFN7
ENSG00000108256	Q7Z417
ENSG00000108262	A0A0C4DGN6
ENSG00000108262	E7EVC2
ENSG00000108262	J3QL89
ENSG00000108262	J3QLH1
ENSG00000108262	J3QQI0
ENSG00000108262	J3QRU8
ENSG00000108262	K7EIX6
ENSG00000108262	K7EN79
ENSG00000108262	Q9Y2X7
ENSG00000108298	J3KTE4
ENSG00000108298	J3QL15
ENSG00000108298	J3QR09
ENSG00000108298	P84098
ENSG00000108306	J3KTA1
ENSG00000108306	J3QKL3
ENSG00000108306	Q96IG2
ENSG00000108309	A0A087X0V8
ENSG00000108309	Q59EK9
ENSG00000108312	E9PKP7
ENSG00000108312	E9PLT2
ENSG00000108312	E9PMM2
ENSG00000108312	H0YDH7
ENSG00000108312	P17480
ENSG00000108344	F5H8K4
ENSG00000108344	H0YGV8
ENSG00000108344	O43242
ENSG00000108349	J3KSY7
ENSG00000108349	J3QSC4
ENSG00000108349	K7EQ38
ENSG00000108349	O15234
ENSG00000108352	A0A087WVW6
ENSG00000108352	A0A087X280
ENSG00000108352	F5GXC6
ENSG00000108352	F5GY17
ENSG00000108352	F5GYJ3
ENSG00000108352	F5H2D5
ENSG00000108352	F5H582
ENSG00000108352	Q9UHV5
ENSG00000108370	E9PD91
ENSG00000108370	J3QL70
ENSG00000108370	O75916
ENSG00000108381	I3L0T3
ENSG00000108381	I3L4M0
ENSG00000108381	P45381
ENSG00000108387	J3KS26
ENSG00000108387	J3KS85
ENSG00000108387	J3KSZ7
ENSG00000108387	J3QLA8
ENSG00000108387	J3QLR2
ENSG00000108387	J3QRS4
ENSG00000108387	J3QRT6
ENSG00000108387	J3QRU3
ENSG00000108387	O43236
ENSG00000108389	J3KT95
ENSG00000108389	J3QKV8
ENSG00000108389	J3QLB9
ENSG00000108389	J3QR65
ENSG00000108389	J3QRJ2
ENSG00000108389	J3QS98
ENSG00000108389	Q9NYA4
ENSG00000108406	F5H625
ENSG00000108406	J3KS08
ENSG00000108406	J3KSW6
ENSG00000108406	J3KSX9
ENSG00000108406	J3KTK0
ENSG00000108406	Q8IX18
ENSG00000108423	K7EKE2
ENSG00000108423	K7EMW6
ENSG00000108423	K7EPQ0
ENSG00000108423	K7EQN9
ENSG00000108423	Q9UJT1
ENSG00000108424	J3KS06
ENSG00000108424	J3KTM9
ENSG00000108424	J3QKQ5
ENSG00000108424	J3QR48
ENSG00000108424	J3QRG4
ENSG00000108424	Q14974
ENSG00000108439	J3KS77
ENSG00000108439	J3QLF1
ENSG00000108439	J3QQV6
ENSG00000108439	J3QQZ9
ENSG00000108439	Q9NVS9
ENSG00000108443	K7EIM2
ENSG00000108443	K7EMM2
ENSG00000108443	K7ER06
ENSG00000108443	P23443
ENSG00000108465	J3KRI2
ENSG00000108465	J3KRK4
ENSG00000108465	J3KS63
ENSG00000108465	J3KSD0
ENSG00000108465	J3KTA5
ENSG00000108465	J3QL86
ENSG00000108465	J3QL95
ENSG00000108465	J3QQS7
ENSG00000108465	J3QQY1
ENSG00000108465	J3QRM1
ENSG00000108465	J3QRX0
ENSG00000108465	J3QS62
ENSG00000108465	Q96JB5
ENSG00000108468	B5MD17
ENSG00000108468	C9JWS9
ENSG00000108468	J3KS05
ENSG00000108468	K7ELA4
ENSG00000108468	P83916
ENSG00000108469	J3KRM6
ENSG00000108469	J3KS37
ENSG00000108469	J3KSL7
ENSG00000108469	J3KSV9
ENSG00000108469	J3KTQ2
ENSG00000108469	J3QLU0
ENSG00000108469	O94762
ENSG00000108474	A0A096LPK2
ENSG00000108474	A8MTV0
ENSG00000108474	B4DJK6
ENSG00000108474	J3KSD1
ENSG00000108474	J3QLG8
ENSG00000108474	J3QQI7
ENSG00000108474	M0QYT4
ENSG00000108474	Q9Y2B2
ENSG00000108479	K7EII7
ENSG00000108479	K7ERJ9
ENSG00000108479	K7ERN9
ENSG00000108479	P51570
ENSG00000108506	J3KMZ7
ENSG00000108506	J3KRH0
ENSG00000108506	Q9H0H0
ENSG00000108509	I3L146
ENSG00000108509	I3L2A1
ENSG00000108509	I3L3V0
ENSG00000108509	I3L3W6
ENSG00000108509	O94983
ENSG00000108511	P17509
ENSG00000108515	E5RG95
ENSG00000108515	E5RGZ4
ENSG00000108515	E5RI09
ENSG00000108515	E5RJH5
ENSG00000108515	K7EKN2
ENSG00000108515	K7EP84
ENSG00000108515	K7EPM1
ENSG00000108515	P13929
ENSG00000108518	I3L3D5
ENSG00000108518	K7EJ44
ENSG00000108518	P07737
ENSG00000108523	I3L0L6
ENSG00000108523	I3L0V7
ENSG00000108523	I3L1K4
ENSG00000108523	I3L2D4
ENSG00000108523	I3L2Y3
ENSG00000108523	I3L462
ENSG00000108523	K7EN24
ENSG00000108523	Q9H6Y7
ENSG00000108557	A8MXE8
ENSG00000108557	J3QLL5
ENSG00000108557	J3QR08
ENSG00000108557	Q7Z5J4
ENSG00000108559	I3L245
ENSG00000108559	I3L2W3
ENSG00000108559	I3L4K7
ENSG00000108559	J3KMX1
ENSG00000108559	Q99567
ENSG00000108561	A0A0G2JLC0
ENSG00000108561	I3L3B0
ENSG00000108561	I3L3Q7
ENSG00000108561	Q07021
ENSG00000108578	J3KS79
ENSG00000108578	J3KSD8
ENSG00000108578	K7EMJ3
ENSG00000108578	K7ENH5
ENSG00000108578	K7ES02
ENSG00000108578	K7ESE8
ENSG00000108578	Q13867
ENSG00000108582	J3QQJ4
ENSG00000108582	J3QRJ9
ENSG00000108582	K7ELF0
ENSG00000108582	O75976
ENSG00000108588	A0A087WYW6
ENSG00000108588	J3KRX4
ENSG00000108588	Q96A33
ENSG00000108590	I3L0P8
ENSG00000108590	I3L2J1
ENSG00000108590	Q9Y3C7
ENSG00000108591	A8MZF9
ENSG00000108591	J3KRL5
ENSG00000108591	J3QKV7
ENSG00000108591	J3QKW7
ENSG00000108591	J3QL90
ENSG00000108591	J3QLF3
ENSG00000108591	J3QQI1
ENSG00000108591	J3QR71
ENSG00000108591	J3QRI9
ENSG00000108591	P55039
ENSG00000108592	J3KRY4
ENSG00000108592	J3KS36
ENSG00000108592	J3KS74
ENSG00000108592	J3QKT6
ENSG00000108592	J3QR05
ENSG00000108592	J3QRS5
ENSG00000108592	J3QSE2
ENSG00000108592	Q8IY81
ENSG00000108599	E7EMD6
ENSG00000108599	I3L177
ENSG00000108599	I3L479
ENSG00000108599	I3NI04
ENSG00000108599	J3QL61
ENSG00000108599	J3QR74
ENSG00000108599	J3QRM7
ENSG00000108599	K7EM25
ENSG00000108599	O43572
ENSG00000108602	A8MYB8
ENSG00000108602	C9JKT2
ENSG00000108602	C9JMC5
ENSG00000108602	E9PNN6
ENSG00000108602	I3L1H6
ENSG00000108602	I3L3I9
ENSG00000108602	I3L3W9
ENSG00000108602	I3L4E5
ENSG00000108602	P30838
ENSG00000108604	B9EGA3
ENSG00000108604	J3KMX2
ENSG00000108604	J3KT18
ENSG00000108604	J3QQL7
ENSG00000108604	J3QS33
ENSG00000108604	J3QWB6
ENSG00000108604	Q92925
ENSG00000108639	K7EJ35
ENSG00000108639	K7ELD9
ENSG00000108639	K7ELS8
ENSG00000108639	K7ENG9
ENSG00000108639	O43760
ENSG00000108641	A0A0B4J223
ENSG00000108641	A8MTX4
ENSG00000108641	A8MYG7
ENSG00000108641	H7C3B7
ENSG00000108641	I3L126
ENSG00000108641	I3L2R1
ENSG00000108641	I3L435
ENSG00000108641	J3KSN2
ENSG00000108641	J3QKN6
ENSG00000108641	J3QKV6
ENSG00000108641	Q9UPM9
ENSG00000108651	J3KRR8
ENSG00000108651	J3QSA7
ENSG00000108651	Q9NYH9
ENSG00000108654	A0A0G2JLI4
ENSG00000108654	J3KRX8
ENSG00000108654	J3KRZ1
ENSG00000108654	J3KTA4
ENSG00000108654	J3KTQ4
ENSG00000108654	J3QKN9
ENSG00000108654	J3QLG9
ENSG00000108654	J3QR02
ENSG00000108654	J3QR62
ENSG00000108654	J3QRN5
ENSG00000108654	J3QRQ7
ENSG00000108654	J3QS79
ENSG00000108654	J3QS97
ENSG00000108654	J3QSF1
ENSG00000108654	K7EKV0
ENSG00000108654	P17844
ENSG00000108654	X6RLV5
ENSG00000108666	J3KRR1
ENSG00000108666	J3KT97
ENSG00000108666	J3QKQ1
ENSG00000108666	J3QRW7
ENSG00000108666	J9JIC5
ENSG00000108666	K7EII1
ENSG00000108666	K7EIQ2
ENSG00000108666	K7ERX0
ENSG00000108666	Q9HAS0
ENSG00000108669	K7EJN5
ENSG00000108669	K7EKA2
ENSG00000108669	K7EL72
ENSG00000108669	K7ENH6
ENSG00000108669	K7ENQ8
ENSG00000108669	K7ERV8
ENSG00000108669	Q15438
ENSG00000108671	J3KSW3
